DeviceSerial;Name1;Name2;DevicePositionID;StatusID;ExternalRef
8114229;MADADENI HOSPITAL;ABNCS13345D;1;4;13345D
8108817;MADEDENI BRANCH;ABNCS11176D;1;4;11176D
8108827;P&P NEWCASTLE;ABNCS9373D;1;4;9373D
8109321;SPAR NEWCASTLE;ABNCS13346D;1;4;13346D
8109301;THEKU PLAZA OSIZWENI;ABNCS11268D;1;4;11268D
8109059;ITHALA;ABNCS12975D;1;4;12975D
8109045;ENGEN PRIME CORNER 1;ABNEL8504D;1;5;8504D
8109173;NELSPRUIT SANLAM;ABNEL9051D;1;4;9051D
8109061;NELSPRUIT CROSSING 1;ABNEL9334D;1;4;9334D
8109046;BOXER PROMENADED;ABNEL9924D;1;4;9924D
8109284;TOTAL SUPER MOTORS;ABNEL11128D;1;4;11128D
8109293;ILLANGA MALL FOOD 1;ABNEL90874D;1;4;90874D
8109194;SASOL AXIS PARK;ABNEL10830D;1;4;10830D
8109024;WHITE RIVER SQUARE;ABNEL10918D;1;4;10918D
8109291;HAZYVIEW SIMUNYE;ABNEL8141D;1;4;8141D
8109276;SASOL KINGSVIEW;ABNEL8838D;1;4;8838D
8109278;BP SABIE;ABNEL11195D;1;4;11195D
8109176;PEP SABIE 201;ABNEL11860D;1;4;11860D
